,model_name,train_dataset,test_dataset,fpr_at_target,fpr_at_target_percent,threshold_at_target,target_tpr,file
13,clip_large,df40-fs-ff,FSAll_cdf,0.0056179775280898875,0.5617977528089888,0.9997943639755249,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_large/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-49-47A.json
3,clip_base,df40-fs-ff,FSAll_cdf,0.011235955056179775,1.1235955056179776,0.9944776296615601,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_base/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-02-06A.json
11,spsl,df40-fs-ff,FSAll_cdf,0.016853932584269662,1.6853932584269662,0.9761207103729248,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/spsl/train_on_df40-fs-ff/preds/video-level/2026-02-21T12-42-10A.json
58,i3d,df40-fr-ff,FRAll_cdf,0.032679738562091505,3.2679738562091507,0.9999983310699463,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/i3d/train_on_df40-fr-ff/preds/video-level/2026-02-20T11-38-48A.json
29,xception,df40-fs-ff,FSAll_cdf,0.033707865168539325,3.3707865168539324,0.946456253528595,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/xception/train_on_df40-fs-ff/preds/video-level/2026-02-21T14-21-31A.json
17,recce,df40-fs-ff,FSAll_cdf,0.03932584269662921,3.932584269662921,0.9897769689559937,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/recce/train_on_df40-fs-ff/preds/video-level/2026-02-20T18-34-42A.json
7,rfm,df40-fs-ff,FSAll_cdf,0.03932584269662921,3.932584269662921,0.9995595216751099,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/rfm/train_on_df40-fs-ff/preds/video-level/2026-02-21T12-19-18A.json
15,clip_large,df40-all-ff,FSAll_cdf,0.0449438202247191,4.49438202247191,0.9999845027923584,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_large/train_on_df40-all-ff/preds/video-level/2026-02-20T17-33-38A.json
37,clip_base,df40-all-ff,FRAll_cdf,0.0449438202247191,4.49438202247191,0.9999651908874512,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_base/train_on_df40-all-ff/preds/video-level/2026-02-19T23-52-02A.json
25,i3d,df40-fs-ff,FSAll_cdf,0.0457516339869281,4.57516339869281,0.9923827648162842,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/i3d/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-54-05A.json
36,clip_base,df40-fr-ff,FRAll_cdf,0.05056179775280899,5.056179775280898,0.9995790123939514,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_base/train_on_df40-fr-ff/preds/video-level/2026-02-20T00-36-11A.json
23,srm,df40-fs-ff,FSAll_cdf,0.056179775280898875,5.617977528089887,0.783616840839386,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/srm/train_on_df40-fs-ff/preds/video-level/2026-02-21T13-26-36A.json
46,clip_large,df40-fr-ff,FRAll_cdf,0.06179775280898876,6.179775280898876,0.9999309778213501,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_large/train_on_df40-fr-ff/preds/video-level/2026-02-20T09-59-12A.json
5,clip_base,df40-all-ff,FSAll_cdf,0.07303370786516854,7.303370786516854,0.9999430179595947,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_base/train_on_df40-all-ff/preds/video-level/2026-02-20T16-46-45A.json
59,i3d,df40-all-ff,FRAll_cdf,0.0784313725490196,7.8431372549019605,0.9998794198036194,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/i3d/train_on_df40-all-ff/preds/video-level/2026-02-20T11-27-38A.json
20,effort,ff-orig,FSAll_cdf,0.07865168539325842,7.865168539325842,0.7008888721466064,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/effort/train_on_ff-orig/preds/video-level/2026-02-20T09-20-56A.json
