,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
0,spsl,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,2.1081361770629883,0.833291015625,0.83
1,recce,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,3.578049421310425,0.6888574218750001,0.78
2,i3d,ConfDF_norm_v2_th-ob,df40-fr-ff,32,32.0,1.810741662979126,0.537283950617284,0.5499999999999999
3,xception,ConfDF_norm_v2_th-ob,df40-all-ff,32,,1.7780303955078125,0.826611328125,0.8
4,core,ConfDF_norm_v2_th-ob,ff-orig,32,,2.371720314025879,0.942578125,0.9500000000000001
5,i3d,ConfDF_norm_v2_th-ob,df40-fs-ff,32,32.0,1.7797422409057617,0.678641975308642,0.79
6,rfm,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,2.0678563117980957,0.809384765625,0.87
7,spsl,ConfDF_norm_v2_th-ob,ff-orig,32,,2.078413486480713,0.945048828125,0.9400000000000001
8,efficientnetb4,ConfDF_norm_v2_th-ob,ff-orig,32,,2.9238481521606445,0.954189453125,0.96
9,clip_base,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,3.351583957672119,0.8863867187500001,0.9199999999999999
10,srm,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,4.130137205123901,0.723125,0.7
11,clip_large,ConfDF_norm_v2_th-ob,df40-all-ff,8,,3.436756134033203,0.8971875,0.8899999999999999
12,clip_large,ConfDF_norm_v2_th-ob,df40-fr-ff,8,,3.4533121585845947,0.926875,0.94
13,srm,ConfDF_norm_v2_th-ob,ff-orig,32,,4.140674591064453,0.927392578125,0.92
14,recce,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,3.5321807861328125,0.703330078125,0.71
15,effort,ConfDF_norm_v2_th-ob,ff-orig,8,,3.5557804107666016,0.95984375,0.93
16,clip_base,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,3.354297161102295,0.951298828125,0.9700000000000001
17,capsule_net,ConfDF_norm_v2_th-ob,ff-orig,32,,2.6450114250183105,0.886796875,0.92
18,clip_base,ConfDF_norm_v2_th-ob,df40-all-ff,32,,3.364436149597168,0.919873046875,0.94
19,f3net,ConfDF_norm_v2_th-ob,ff-orig,32,,2.289966344833374,0.9523632812499999,0.9700000000000001
20,ucf,ConfDF_norm_v2_th-ob,ff-orig,32,,3.1633312702178955,0.96875,0.9700000000000001
21,srm,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,4.119974374771118,0.784150390625,0.8500000000000001
22,xception,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,1.8060297966003418,0.81767578125,0.8
23,xception,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,1.773850917816162,0.743115234375,0.8700000000000001
24,recce,ConfDF_norm_v2_th-ob,ff-orig,32,,3.560298204421997,0.9337890624999999,0.92
25,meso4incep,ConfDF_norm_v2_th-ob,ff-orig,32,,1.1083436012268066,0.69919921875,0.75
26,spsl,ConfDF_norm_v2_th-ob,df40-fr-ff,32,,2.095768451690674,0.623662109375,0.62
27,rfm,ConfDF_norm_v2_th-ob,df40-fs-ff,32,,2.0721206665039062,0.8183203124999999,0.8
28,i3d,ConfDF_norm_v2_th-ob,df40-all-ff,32,32.0,1.8912363052368164,0.539074074074074,0.5700000000000001
29,clip_large,ConfDF_norm_v2_th-ob,df40-fs-ff,8,,3.448498249053955,0.9554687500000001,0.9600000000000001
30,xception,ConfDF_norm_v2_th-ob,ff-orig,32,,1.7805085182189941,0.928935546875,0.9299999999999999
31,meso4,ConfDF_norm_v2_th-ob,ff-orig,32,,1.0794174671173096,0.52591796875,0.55
32,meso4,ConfDF_norm_v2_all,ff-orig,32,,2.333249092102051,0.5302189072243481,0.5391156462585034
33,clip_base,ConfDF_norm_v2_all,df40-fs-ff,32,,11.969820976257324,0.9402254065688775,0.9560657596371882
