,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
0,core,FSAll_cdf,ff-orig,32,,445.2375853061676,0.65189311409964,0.67846576201372
1,xception,FSAll_cdf,df40-fr-ff,32,,454.3323264122009,0.4753916841751926,0.5020241482684524
2,spsl,FSAll_cdf,df40-fr-ff,32,,458.51963329315186,0.4778770016296514,0.49480709905100695
3,spsl,FSAll_cdf,df40-fs-ff,32,,456.7039375305176,0.9376198731625266,0.9736125957646916
4,spsl,FSAll_cdf,ff-orig,32,,455.259742975235,0.683173064757987,0.7274328422546801
5,recce,FSAll_cdf,ff-orig,32,,953.996285200119,0.7116123009074325,0.7533978912718334
6,srm,FSAll_cdf,df40-fr-ff,32,,1094.521255016327,0.45051193460207284,0.4465753305365
7,f3net,FSAll_cdf,ff-orig,32,,469.3133912086487,0.6853764494820687,0.7089841921585618
8,recce,FSAll_cdf,df40-fs-ff,32,,948.0328180789948,0.9261105833886278,0.9672130433741393
9,efficientnetb4,FSAll_cdf,ff-orig,32,,721.8204329013824,0.7031134202012301,0.732565328990767
10,srm,FSAll_cdf,ff-orig,32,,1099.560903787613,0.688100378988507,0.740919907081852
11,clip_base,FSAll_cdf,df40-fs-ff,32,,914.6121962070465,0.9673818214240248,0.977903637697598
12,meso4incep,FSAll_cdf,ff-orig,32,,140.5704562664032,0.5797011613383584,0.6022110513379298
13,i3d,FSAll_cdf,df40-all-ff,32,32.0,250.1095495223999,0.9043474864980023,0.913533558270893
14,clip_large,FSAll_cdf,df40-all-ff,8,,963.5120644569397,0.9423230268884685,0.9519026667160141
15,recce,FSAll_cdf,df40-fr-ff,32,,953.5103101730347,0.4461140943484956,0.45368624667721835
16,meso4,FSAll_cdf,ff-orig,32,,128.8509373664856,0.5256399410566093,0.5258240825203722
17,i3d,FSAll_cdf,df40-fr-ff,32,32.0,252.00277185440063,0.6306995220483477,0.6321834059318614
18,ucf,FSAll_cdf,ff-orig,32,,817.4744112491608,0.7083355208254108,0.7320460933230866
19,capsule_net,FSAll_cdf,ff-orig,32,,652.0373454093933,0.6261056498572478,0.6517844507967057
20,rfm,FSAll_cdf,df40-fs-ff,32,,448.4967243671417,0.9390626670606039,0.9674253095275935
21,xception,FSAll_cdf,df40-fs-ff,32,,455.17288279533386,0.9222333179799989,0.9620462674901868
22,xception,FSAll_cdf,df40-all-ff,32,,454.4116380214691,0.7545956117002338,0.8306464429635403
23,clip_large,FSAll_cdf,df40-fr-ff,8,,954.9872188568115,0.7207719058159096,0.7447575702818677
24,xception,FSAll_cdf,ff-orig,32,,456.4379692077637,0.6647175184972767,0.6977961330549562
25,srm,FSAll_cdf,df40-fs-ff,32,,1096.948950767517,0.9192973824200266,0.9557517596319849
26,clip_large,FSAll_cdf,df40-fs-ff,8,,963.5881946086884,0.9741458297059387,0.9830279603508596
27,effort,FSAll_cdf,ff-orig,32,,3794.2327132225037,0.8998429524166107,0.9358531684261172
28,rfm,FSAll_cdf,df40-fr-ff,32,,450.44040393829346,0.48695487151824196,0.5020339451678427
29,clip_base,FSAll_cdf,df40-all-ff,32,,914.9436564445496,0.9151278536373706,0.9388227174857238
